Cmdline: /data/local/tmp/simpleperf record -e cpu-cycles -g --duration 10 --call-graph fp -o /data/local/tmp/perf_mbv2.data /data/local/tmp/benchmark/benchmark_inference --model mobilenetv2 --backend mnn --warmup 50 --runs 200
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 19871
Event count: 13450907503

Overhead  Command              Shared Object                                   Symbol
0.02%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             MNN::CPUConvolutionDepthwise::BasicFloatExecution::onExecute(std::__ndk1::vector<MNN::Tensor*, std::__ndk1::allocator<MNN::Tensor*> > const&, std::__ndk1::vector<MNN::Tensor*, std::__ndk1::allocator<MNN::Tensor*> > const&)
0.02%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+4d059c]
0.02%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             MNNPackC4ForMatMul_A
0.02%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d4b648]
0.02%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+bc2654]
0.02%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7e43fb8]
0.02%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f9186f54]
0.02%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             LoopE1End
0.02%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7c83654]
0.02%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7d4e754]
0.02%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f91a7ae4]
0.02%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7c814a4]
0.02%     benchmark_inference  /apex/com.android.runtime/bin/linker64          [linker]bool plain_relocate_impl<(RelocMode)1>(Relocator&, elf64_rela*, unsigned long)
0.02%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7c99d40]
0.02%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d4bf9c]
0.02%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d4be70]
0.02%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d230f4]
0.02%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d4b5b8]
0.02%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7e4a5e4]
0.02%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             MNN::CPUPool::onResize(std::__ndk1::vector<MNN::Tensor*, std::__ndk1::allocator<MNN::Tensor*> > const&, std::__ndk1::vector<MNN::Tensor*, std::__ndk1::allocator<MNN::Tensor*> > const&)::'lambda0'(int)::operator()(int) const
0.02%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d329d4]
0.02%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7eb00d8]
0.02%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             MNN::Interpreter::runSession(MNN::Session*) const
0.02%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             E1LoopH8
0.02%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             MNNConvRunForLineDepthwise
0.02%     benchmark_inference  /apex/com.android.runtime/lib64/bionic/libc.so  free
0.02%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             E12Body
0.02%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             L1LoopH
0.02%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7eadab8]
0.02%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7e808f0]
0.02%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d295dc]
0.02%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7eb0304]
0.02%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d4b5b0]
0.01%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7e89370]
0.01%     benchmark_inference  /apex/com.android.runtime/lib64/bionic/libc.so  malloc
0.01%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d295e8]
0.01%     benchmark_inference  /apex/com.android.runtime/bin/linker64          [linker]bool plain_relocate_impl<(RelocMode)0>(Relocator&, elf64_rela*, unsigned long)
0.01%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7e23784]
0.01%     benchmark_inference  /apex/com.android.runtime/bin/linker64          [linker]find_verdef_version_index(soinfo const*, version_info const*)
0.01%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7ee3330]
0.01%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7e7af5c]
0.01%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7e7af7c]
0.01%     benchmark_inference  /apex/com.android.runtime/bin/linker64          [linker]BionicSmallObjectAllocator::alloc()
0.01%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d4b5ac]
0.01%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d4b600]
0.01%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d4be74]
0.01%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d4be84]
0.01%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d4b604]
0.01%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7e87c8c]
0.01%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d4c838]
0.01%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+e910c4]
0.01%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d4bf58]
0.01%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             MNN::Tensor::getDimensionType() const
0.01%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7e80e4c]
0.01%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+e90b94]
0.01%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d4c894]
0.01%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7e8feec]
0.01%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d235c8]
0.01%     benchmark_inference  /apex/com.android.runtime/lib64/bionic/libc.so  __cxa_finalize
0.01%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f80b541c]
0.01%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7eadac0]
0.01%     benchmark_inference  /apex/com.android.runtime/lib64/bionic/libc.so  __strlen_aarch64
0.01%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d4b624]
0.01%     benchmark_inference  /apex/com.android.runtime/bin/linker64          [linker]load_library(android_namespace_t*, LoadTask*, std::__1::vector<LoadTask*, std::__1::allocator<LoadTask*> >*, int, std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > const&, bool)
0.01%     benchmark_inference  /apex/com.android.runtime/lib64/bionic/libc.so  @plt
0.01%     benchmark_inference  /apex/com.android.runtime/bin/linker64          [linker]ElfReader::ReadDynamicSection()
0.01%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7e7b224]
0.01%     benchmark_inference  /apex/com.android.runtime/bin/linker64          [linker]soinfo::lookup_version_info(VersionTracker const&, unsigned int, char const*, version_info const**)
